source_id,jurisdiction_id,authority_id,source_title,source_type,format,url,effective_period,retrieved_at,verification_status,topics,notes
source:itis-taxonomy,,,Integrated Taxonomic Information System,AUTHORITATIVE_SCIENTIFIC,HTML,https://www.itis.gov/,,2026-09-20,SOURCE_FOUND,taxonomy,U.S. federal interagency taxonomic reference; species-level TSN review remains queued
source:ca-eccc-mgb-2026-27,jurisdiction:ca-federal,authority:ca-eccc,Hunting regulations for migratory game birds: provincial and territorial summaries 2026 to 2027,PRIMARY_REGULATORY,HTML,https://www.canada.ca/en/environment-climate-change/services/migratory-game-bird-hunting/regulations-provincial-territorial-summaries.html,2026-2027,2026-09-20,SOURCE_FOUND,seasons|species|bag_limits|permits|districts,Federal summaries link every province and territory
source:ca-eccc-mbr-2022,jurisdiction:ca-federal,authority:ca-eccc,Migratory Birds Regulations 2022,PRIMARY_REGULATORY,HTML,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2022-105/,current_consolidation,2026-09-20,SOURCE_FOUND,legislation|methods|species|seasons,Check consolidation date before production use
source:ca-eccc-mgb-faq,jurisdiction:ca-federal,authority:ca-eccc,Migratory game bird hunting frequently asked questions,PRIMARY_REGULATORY,HTML,https://www.canada.ca/en/environment-climate-change/services/migratory-game-bird-hunting/frequently-asked-questions.html,current,2026-09-20,SOURCE_FOUND,permits|hours|federal_overlap,Explicitly instructs hunters to check provincial/territorial requirements
source:ca-ab-hunting,jurisdiction:ca-ab,authority:ca-ab-epa,Hunting in Alberta,PRIMARY_REGULATORY,HTML,https://www.alberta.ca/hunting-in-alberta,current_hub,2026-09-20,SOURCE_FOUND,regulations|licensing|updates|species,Current annual guide and updates must be captured as versioned child sources
source:ca-ab-wmu,jurisdiction:ca-ab,authority:ca-ab-epa,Wildlife Management Units,PRIMARY_DATA,HTML,https://www.alberta.ca/wildlife-management-units.aspx,current,2026-09-20,SOURCE_FOUND,management_units|maps,Official page warns maps are small-scale approximations of legal descriptions
source:ca-bc-synopsis-2024-26,jurisdiction:ca-bc,authority:ca-bc-wlrs,Hunting and Trapping Regulations Synopsis,PRIMARY_REGULATORY,HTML,https://www2.gov.bc.ca/gov/content/sports-culture/recreation/fishing-hunting/hunting/regulations-synopsis,2024-07-01/2026-06-30,2026-09-20,STALE,regulations|species|seasons|management_units,Landing page also carries corrections and detailed maps; replace with 2026-28 publication when confirmed
source:ca-bc-mu-reg,jurisdiction:ca-bc,authority:ca-bc-wlrs,Management Unit Regulation B.C. Reg. 64/96,PRIMARY_REGULATORY,HTML,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/64_96,current_consolidation,2026-09-20,SOURCE_FOUND,management_units|legal_boundaries,Legal regulation prevails over synopsis maps
source:ca-mb-hunting-2026,jurisdiction:ca-mb,authority:ca-mb-nrif,Manitoba 2026 Hunting Guide,PRIMARY_REGULATORY,HTML,https://www.gov.mb.ca/elicensing/publications.html,2026,2026-09-20,SOURCE_FOUND,regulations|species|seasons|licensing|hunting_areas,Publications hub links guide and supplements
source:ca-nb-hunt-trap,jurisdiction:ca-nb,authority:ca-nb-nred,Hunt and Trap Regulations Summary,PRIMARY_REGULATORY,PDF,https://www2.gnb.ca/content/dam/gnb/Departments/nr-rn/pdf/en/Wildlife/HuntTrap.pdf,2024-2025,2026-09-20,STALE,regulations|species|seasons|zones,Current replacement required before season logic
source:ca-nb-elicensing,jurisdiction:ca-nb,authority:ca-nb-nred,Available Licences and Draws,PRIMARY_REGULATORY,HTML,https://www2.gnb.ca/content/gnb/en/departments/erd/fish-and-wildlife/content/e-Licensing/available_licences.html,2026,2026-09-20,SOURCE_FOUND,licensing|draws|species,Confirms current licence categories but not complete rules
source:ca-nl-guide-2026-27,jurisdiction:ca-nl,authority:ca-nl-fal,2026-27 Hunting and Trapping Guide,PRIMARY_REGULATORY,HTML,https://www.gov.nl.ca/hunting-trapping-guide/2026-27/print/,2026-2027,2026-09-20,SOURCE_FOUND,regulations|species|seasons|quotas|management_areas|licensing,Guide states it is not the legal instrument
source:ca-nl-boundaries,jurisdiction:ca-nl,authority:ca-nl-fal,Boundary Areas and Online Mapping,PRIMARY_DATA,HTML,https://www.gov.nl.ca/fal/public-education/wildlife/hunting/boundry/,current,2026-09-20,SOURCE_FOUND,management_areas|maps,Species-specific management-area maps
source:ca-nt-summary-2026-27,jurisdiction:ca-nt,authority:ca-nt-ecc,NWT Summary of Hunting and Trapping Regulations,PRIMARY_REGULATORY,PDF,https://www.gov.nt.ca/ecc/en/resources,2026-07-01/2027-06-30,2026-09-20,SOURCE_FOUND,regulations|species|seasons|management_units|licensing,Resource index confirmed current guide; direct PDF should be versioned next
source:ca-ns-summary,jurisdiction:ca-ns,authority:ca-ns-nr,Hunting and furharvesting summary of regulations,PRIMARY_REGULATORY,HTML,https://novascotia.ca/natr/hunt/regulations/,current_hub,2026-09-20,SOURCE_FOUND,regulations|species|seasons|zones|updates,Page warns original Act and regulations control
source:ca-nu-guide-2026-27,jurisdiction:ca-nu,authority:ca-nu-env,Nunavut Hunting Regulations Guide,PRIMARY_REGULATORY,HTML,https://www.gov.nu.ca/en/environment-and-wildlife/hunting-regulations-guide,2026-2027,2026-09-20,SOURCE_FOUND,regulations|species|seasons|hunting_areas|licensing,Co-management and beneficiary distinctions require specialist review
source:ca-on-summary-2026,jurisdiction:ca-on,authority:ca-on-mnr,Ontario Hunting Regulations Summary,PRIMARY_REGULATORY,HTML,https://www.ontario.ca/document/ontario-hunting-regulations-summary,2026-2027,2026-09-20,SOURCE_FOUND,regulations|species|seasons|bag_limits|licensing,Summary is not complete law and links governing Acts
source:ca-on-wmu,jurisdiction:ca-on,authority:ca-on-mnr,Find a wildlife management unit map,PRIMARY_DATA,HTML,https://www.ontario.ca/page/find-wildlife-management-unit-wmu-map,current,2026-09-20,SOURCE_FOUND,management_units|maps,Official page reports 95 WMUs with some subunits
source:ca-pe-summary-2026,jurisdiction:ca-pe,authority:ca-pe-ffw,Hunting Summary,PRIMARY_REGULATORY,PDF,https://www.princeedwardisland.ca/en/publication/hunting-summary,2026,2026-09-20,SOURCE_FOUND,regulations|species|seasons|licensing,Published August 20 2026
source:ca-qc-seasons-2026,jurisdiction:ca-qc,authority:ca-qc-mffp,Hunting seasons and bag limits,PRIMARY_REGULATORY,HTML,https://www.quebec.ca/en/tourism-and-recreation/sporting-and-outdoor-activities/sport-hunting/seasons-bag-limits,2026,2026-09-20,SOURCE_FOUND,regulations|species|seasons|zones|bag_limits,Interactive filters require extraction and preserved French terms
source:ca-qc-zones,jurisdiction:ca-qc,authority:ca-qc-mffp,Cartes des zones de chasse,PRIMARY_DATA,HTML,https://www.quebec.ca/tourisme-loisirs-sport/activites-sportives-et-de-plein-air/chasse-sportive/cartes-zones,current,2026-09-20,SOURCE_FOUND,zones|maps,Official page identifies 28 hunting zones and species-specific subdivisions
source:ca-sk-hunting,jurisdiction:ca-sk,authority:ca-sk-env,Hunting in Saskatchewan,PRIMARY_REGULATORY,HTML,https://www.saskatchewan.ca/residents/parks-culture-heritage-and-sport/hunting-trapping-and-angling/hunting,current_hub,2026-09-20,SOURCE_FOUND,regulations|species|seasons|licensing|zones,Annual Hunters and Trappers Guide requires versioned source record
