risk_id,species_id,confused_species_id,jurisdiction_id,risk_level,risk_context,authoritative_source_id,verification_status,notes
risk:canada-cackling-goose,species:canada-goose,species:cackling-goose,jurisdiction:ca-federal,HIGH,Species-specific or combined limits vary by district,source:ca-eccc-mgb-2026-27,SOURCE_FOUND,Size and structural differences require authoritative field identification
risk:cackling-canada-goose,species:cackling-goose,species:canada-goose,jurisdiction:ca-federal,HIGH,Species-specific or combined limits vary by district,source:ca-eccc-mgb-2026-27,SOURCE_FOUND,
risk:mallard-black-duck,species:mallard,species:american-black-duck,jurisdiction:ca-on,HIGH,Species-specific daily limits and hybrid/intergrade identification,source:ca-on-migratory-id,SOURCE_FOUND,
risk:black-duck-mallard,species:american-black-duck,species:mallard,jurisdiction:ca-on,HIGH,Species-specific daily limits and hybrid/intergrade identification,source:ca-on-migratory-id,SOURCE_FOUND,
risk:barrows-common-goldeneye,species:barrows-goldeneye,species:common-goldeneye,jurisdiction:ca-on,HIGH,Barrow's Goldeneye has a species-specific limit,source:ca-on-migratory-id,SOURCE_FOUND,
risk:harlequin-duck-seaducks,species:harlequin-duck,species:long-tailed-duck,jurisdiction:ca-on,CRITICAL,No open season for Harlequin Duck in Ontario federal summary,source:ca-on-migratory-id,SOURCE_FOUND,Create protected/non-target warning before waterfowl content
risk:king-rail-virginia-rail,species:king-rail,species:virginia-rail,jurisdiction:ca-on,CRITICAL,King Rail has no open season while other rail rules differ,source:ca-on-migratory-id,SOURCE_FOUND,
risk:sandhill-whooping-crane,species:sandhill-crane,species:whooping-crane,jurisdiction:ca-federal,CRITICAL,Whooping Crane is endangered and is a named confusion risk in the new Ontario and Quebec Sandhill Crane hunt,source:ca-eccc-crane-id,SOURCE_FOUND,Official tool compares Sandhill Crane Whooping Crane Canada Goose and Great Blue Heron
risk:greater-lesser-scaup,species:greater-scaup,species:lesser-scaup,jurisdiction:us-federal,HIGH,Species/group limits may differ and field separation is difficult,source:usfws-duck-wing-id,SOURCE_FOUND,
risk:lesser-greater-scaup,species:lesser-scaup,species:greater-scaup,jurisdiction:us-federal,HIGH,Species/group limits may differ and field separation is difficult,source:usfws-duck-wing-id,SOURCE_FOUND,
risk:willow-rock-ptarmigan,species:willow-ptarmigan,species:rock-ptarmigan,jurisdiction:ca-nl,HIGH,Combined limits can include species-specific sublimits,source:ca-nl-guide-2026-27,SOURCE_FOUND,
risk:rock-willow-ptarmigan,species:rock-ptarmigan,species:willow-ptarmigan,jurisdiction:ca-nl,HIGH,Combined limits can include species-specific sublimits,source:ca-nl-guide-2026-27,SOURCE_FOUND,
risk:ruffed-spruce-grouse,species:ruffed-grouse,species:spruce-grouse,jurisdiction:ca-on,MEDIUM,Species may share habitat but regulatory tables can group or separate them,source:ca-on-summary-2026,NEEDS_REVIEW,
risk:dusky-sooty-grouse,species:dusky-grouse,species:sooty-grouse,jurisdiction:us-federal,HIGH,Historic blue-grouse terminology can obscure split species,source:itis-taxonomy,SOURCE_FOUND,Jurisdiction-specific ranges and official terms required
risk:sage-grouse-split,species:greater-sage-grouse,species:gunnison-sage-grouse,jurisdiction:us-co,CRITICAL,Gunnison Sage-Grouse is protected and range-limited,source:us-co-hunting,NEEDS_REVIEW,Add dedicated USFWS identification/conservation source
