gap_id,priority,jurisdiction_id,gap_type,description,impact,status,next_action
gap:ca-current-docs,CRITICAL,jurisdiction:ca-federal,CURRENT_REGULATIONS,Several provincial records still point to hubs or stale summaries rather than immutable current publications,Blocks current rule ingestion,OPEN,Capture versioned guide/PDF plus effective dates and hashes
gap:ca-machine-gis,HIGH,jurisdiction:ca-federal,MACHINE_READABLE_GIS,Most Canadian boundaries are portal/map discoveries without confirmed service URLs and schemas,Blocks deterministic coordinate-to-unit ingestion,OPEN,Inspect portal network/catalog metadata and licence
gap:ca-emergency-updates,HIGH,jurisdiction:ca-federal,EMERGENCY_CHANGES,Centralized closure/emergency-change feeds are not inventoried for every jurisdiction,Risk of stale open/closed answers,OPEN,Add separate update source and monitoring cadence per jurisdiction
gap:ca-indigenous,HIGH,jurisdiction:ca-federal,LEGAL_FRAMEWORK,Indigenous treaty Aboriginal beneficiary and co-management sources are only flagged,Unsafe generalization risk,OPEN,Specialist jurisdiction-by-jurisdiction inventory
gap:us-versioned-guides,CRITICAL,jurisdiction:us-federal,CURRENT_REGULATIONS,All states have official hunting hubs but current guide/season publications need versioned child records,No current season certification,OPEN,Breadth-first capture across 50 states
gap:us-gis,HIGH,jurisdiction:us-federal,MACHINE_READABLE_GIS,Only a subset of state unit-map portals is inventoried,Blocks national spatial coverage,OPEN,Prioritize western GMU states and northeastern WMU states
gap:us-species-evidence,CRITICAL,jurisdiction:us-federal,SPECIES_RELATIONSHIPS,State-by-state species evidence is not yet extracted,No state huntability claims can be made,OPEN,Start white-tailed deer turkey elk mule deer and waterfowl
gap:us-federal-state-compose,HIGH,jurisdiction:us-federal,FEDERAL_OVERLAP,Federal migratory frameworks and refuge-specific rules are not mapped to state sources,Can miss overlapping authority,OPEN,Model separate layers and precedence without flattening
gap:taxonomy-tsns,MEDIUM,jurisdiction:ca-federal,TAXONOMY,Species names are normalized but ITIS TSNs and record-level retrieval dates are not captured,Taxonomic audit is incomplete,OPEN,Add taxon-source crosswalk and synonyms
gap:french-names,MEDIUM,jurisdiction:ca-federal,LOCALIZATION,French names are present only where confidently recognized and not yet claim-mapped,Incomplete bilingual validation,OPEN,Verify through ECCC/provincial official species lists
gap:dc-relevance,LOW,jurisdiction:us-dc,JURISDICTION_SCOPE,No ordinary recreational hunting program was identified for District of Columbia,Coverage classification uncertain,OPEN,Review D.C. Code federal lands and nuisance permits
