jurisdiction_id,subdivision_code,jurisdiction_name,authority_id,regulatory_source_id,research_depth,regulatory_system,management_geographies,regulation_formats,gis_status,gis_legal_standing,gis_licensing,required_dimensions,federal_land_dependencies,known_blockers,implementation_readiness,engine_compatibility,engine_gaps,annual_artifact,monitor_strategy,fixture_candidates,reviewed_at
jurisdiction:us-al,AL,Alabama,authority:us-al-dcnr,source:us-al-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Game Management Area (GMA),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ak,AK,Alaska,authority:us-ak-adfg,source:us-ak-hunting,WAVE_1_DEEP,GMU/subunit + species + hunt number/type + residency + permit/harvest ticket + subsistence overlay,Game Management Units and subunits; controlled-use/closed/management areas; federal subsistence areas,HTML hub; annual PDFs by GMU; hunt-number web views; emergency orders,OFFICIAL_DOWNLOAD_PAGE_FOUND_SERVICE_UNRESOLVED,"Map guidance; current regulations, legal descriptions, and emergency orders control",UNRESOLVED,species; regulatory class; sex/age; GMU/subunit; hunt number/type; residency; permit type; season; method; bag period; subsistence eligibility; emergency order,USFWS refuges; NPS units; BLM/USFS access; federal subsistence regime,No stable feature-service contract certified; state/federal subsistence conflicts require separate authority scopes; emergency orders are mutable,RESEARCH_DEEP_SOURCE_CONTRACT_BLOCKED,PARTIAL_MAJOR_EXTENSION,hunt identifiers; residency/eligibility; permit and harvest-ticket classes; emergency-order precedence; dual state/federal subsistence authority,Annual statewide/GMU regulation PDFs plus permit supplements and emergency orders,Version annual artifacts; poll emergency-order index; diff hunt-number tables and GMU legal descriptions,GMU 1 black bear general vs permit hunt; GMU 26 resident/nonresident split; federal subsistence overlap,2026-09-20
jurisdiction:us-az,AZ,Arizona,authority:us-az-gfd,source:us-az-hunting,WAVE_1_DEEP,GMU + four-digit hunt number + permit-tag/nonpermit-tag + draw + season/order,Game Management Units and species hunt areas; six administrative regions; special access/closure areas,HTML hub; annual hunting and draw booklets; draw-process pages; unit pages/maps,OFFICIAL_UNIT_MAPS_FOUND_DOWNLOAD_SERVICE_UNRESOLVED,"Planning/unit maps; commission orders, regulations, and permit-tag conditions govern",UNRESOLVED,species; hunt number; GMU/area; permit-tag class; draw; bonus points; season; method; sex/age; residency; quota,USFS/BLM; National Wildlife Refuges; tribal lands; border/military access constraints,Commission orders and draw booklets must be composed; unit-map service and reuse terms not certified,RESEARCH_DEEP_ORDER_AND_GIS_BLOCKED,PARTIAL_MAJOR_EXTENSION,hunt number; permit-tag taxonomy; commission-order precedence; bonus-point/draw metadata,Annual regulations/draw booklet and species commission orders,Version booklets and orders; diff hunt-number tables and corrections,four-digit draw hunt; nonpermit-tag opportunity; same GMU with species/order differences,2026-09-20
jurisdiction:us-ar,AR,Arkansas,authority:us-ar-agfc,source:us-ar-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ca,CA,California,authority:us-ca-cdfw,source:us-ca-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Hunt Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-co,CO,Colorado,authority:us-co-cpw,source:us-co-hunting,WAVE_1_DEEP,Species brochure + 8-character hunt code + limited/OTC license + primary/secondary draw,Game Management Units; species-specific hunt-code unit sets; Ranching for Wildlife/private-land programs,HTML hub; annual PDF brochures; corrections pages; draw pages,OFFICIAL_PORTAL_FOUND_LAYER_CONTRACT_UNRESOLVED,"Planning map; brochure, regulations, license, and hunt code govern",PORTAL_TERMS_REVIEW_REQUIRED,species; sex; GMU/unit set; season; method; hunt code; license list; residency; draw; quota; private-land program,USFS/BLM access; NPS and refuge closures; wilderness/access constraints,Hunt-code tables and post-publication corrections need structured diffing; GIS layer/version and reuse terms not certified,RESEARCH_DEEP_PARSER_AND_GIS_BLOCKED,PARTIAL_MAJOR_EXTENSION,first-class hunt code; quota/draw lifecycle; multi-unit hunts; license lists; correction precedence,Species-specific annual brochures and correction notices,Pin brochure versions; poll corrections; parse and diff hunt-code tables,D-M-014-E1-R hunt-code decomposition; limited vs OTC elk; brochure correction supersession,2026-09-20
jurisdiction:us-ct,CT,Connecticut,authority:us-ct-deep,source:us-ct-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Deer/Turkey Management Zone,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-de,DE,Delaware,authority:us-de-dnrec,source:us-de-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Area/Zone,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-dc,DC,District of Columbia,authority:us-dc-doee,source:us-dc-wildlife,NATIONAL_DISCOVERY,No ordinary recreational hunting program established,UNRESOLVED,HTML,NOT_APPLICABLE_PENDING_AUTHORITY_REVIEW,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,Confirm statutory prohibition/absence and any controlled wildlife-management exceptions,UNAVAILABLE_REQUIRES_LEGAL_CONFIRMATION,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-fl,FL,Florida,authority:us-fl-fwc,source:us-fl-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
